Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0239675698	-0.0199982772	-0.0199982772	-0.0199982772	-0.0199982772	0	0	0	0	0	0	0	3
2	6	0	0.0479351395	-0.0199990964	-0.0199986868	-0.0199990964	-0.0199982772	4.09572993e-07	0	0	0	0	0	0	3
3	6	0	0.0719027093	-0.0199991894	-0.0199988543	-0.0199991894	-0.0199982772	5.77107961e-07	0	0	0	0	0	0	3
4	6	0	0.0958702791	-0.0199992861	-0.0199989623	-0.0199992861	-0.0199982772	6.85054584e-07	0	0	0	0	0	0	3
5	7	0	0.119837849	-0.0199993202	-0.0199990338	-0.0199993202	-0.0199982772	7.56642533e-07	0	0	0	0	0	0	3
6	7	0	0.143805419	-0.0199993761	-0.0199990909	-0.0199993761	-0.0199982772	8.13678783e-07	0	0	0	0	0	0	3
7	7	0	0.167772988	-0.0199993798	-0.0199991322	-0.0199993798	-0.0199982772	8.5495271e-07	0	0	0	0	0	0	3
8	7	0	0.191740558	-0.0199993919	-0.0199991646	-0.0199993919	-0.0199982772	8.87418334e-07	0	0	0	0	0	0	3
9	8	0	0.215708128	-0.0199993942	-0.0199991901	-0.0199993942	-0.0199982772	9.12926126e-07	0	0	0	0	0	0	3
10	8	0	0.239675698	-0.0199994042	-0.0199992115	-0.0199994042	-0.0199982772	9.3432932e-07	0	0	0	0	0	0	3
11	8	0	0.263643267	-0.0199994452	-0.0199992328	-0.0199994452	-0.0199982772	9.55568354e-07	0	0	0	0	0	0	3
12	9	0	0.287610837	-0.0199994617	-0.0199992518	-0.0199994617	-0.0199982772	9.74643383e-07	0	0	0	0	0	0	3
13	9	0	0.311578407	-0.0199995106	-0.0199992718	-0.0199995106	-0.0199982772	9.94550055e-07	0	0	0	0	0	0	3
14	9	0	0.335545977	-0.0199995525	-0.0199992918	-0.0199995525	-0.0199982772	1.01460004e-06	0	0	0	0	0	0	3
15	9	0	0.359513547	-0.0199996016	-0.0199993125	-0.0199996016	-0.0199982772	1.03525294e-06	0	0	0	0	0	0	3
16	9	0	0.383481116	-0.0199996488	-0.0199993335	-0.0199996488	-0.0199982772	1.0562746e-06	0	0	0	0	0	0	3
17	10	0	0.407448686	-0.0199996979	-0.0199993549	-0.0199996979	-0.0199982772	1.07771345e-06	0	0	0	0	0	0	3
18	10	0	0.431416256	-0.0199997446	-0.0199993766	-0.0199997446	-0.0199982772	1.0993601e-06	0	0	0	0	0	0	3
19	10	0	0.455383826	-0.0199997898	-0.0199993983	-0.0199997898	-0.0199982772	1.12111021e-06	0	0	0	0	0	0	3
20	10	0	0.479351395	-0.0199998323	-0.01999942	-0.0199998323	-0.0199982772	1.14281165e-06	0	0	0	0	0	0	3
21	10	0	0.503318965	-0.0199998706	-0.0199994415	-0.0199998706	-0.0199982772	1.16426774e-06	0	0	0	0	0	0	3
22	11	0	0.527286535	-0.0199999067	-0.0199995191	-0.0199999067	-0.0199990964	8.10368816e-07	0	0	0	0	0	0	3
23	11	0	0.551254105	-0.0199999417	-0.0199995593	-0.0199999417	-0.0199991894	7.05008151e-07	0	0	0	0	0	0	3
24	11	0	0.575221674	-0.0199999747	-0.0199995967	-0.0199999747	-0.0199992861	6.34459728e-07	0	0	0	0	0	0	3
25	11	0	0.599189244	-0.0200000064	-0.019999631	-0.0200000064	-0.0199993202	5.97174161e-07	0	0	0	0	0	0	3
26	12	0	0.623156814	-0.020000036	-0.0199996651	-0.020000036	-0.0199993761	5.74222099e-07	0	0	0	0	0	0	3
27	12	0	0.647124384	-0.0200000639	-0.0199996979	-0.0200000639	-0.0199993798	5.65699847e-07	0	0	0	0	0	0	3
28	12	0	0.671091954	-0.0200000909	-0.0199997317	-0.0200000909	-0.0199993919	5.67095303e-07	0	0	0	0	0	0	3
29	12	0	0.695059523	-0.0200001165	-0.0199997662	-0.0200001165	-0.0199993942	5.76092934e-07	0	0	0	0	0	0	3
30	12	0	0.719027093	-0.020000141	-0.0199998018	-0.020000141	-0.0199994042	5.90249855e-07	0	0	0	0	0	0	3
31	13	0	0.742994663	-0.0200001638	-0.019999838	-0.0200001638	-0.0199994452	6.05183873e-07	0	0	0	0	0	0	3
32	13	0	0.766962233	-0.0200001872	-0.0199998733	-0.0200001872	-0.0199994617	6.2144325e-07	0	0	0	0	0	0	3
33	13	0	0.790929802	-0.020000208	-0.0199999088	-0.020000208	-0.0199995106	6.37077742e-07	0	0	0	0	0	0	3
34	13	0	0.814897372	-0.0200002281	-0.019999943	-0.0200002281	-0.0199995525	6.51192271e-07	0	0	0	0	0	0	3
35	13	0	0.838864942	-0.0200002481	-0.0199999761	-0.0200002481	-0.0199996016	6.46502404e-07	0	0	0	0	0	0	3
36	14	0	0.862832512	-0.0200002696	-0.0200000079	-0.0200002696	-0.0199996488	6.20772152e-07	0	0	0	0	0	0	3
37	14	0	0.886800082	-0.0200002893	-0.0200000384	-0.0200002893	-0.0199996979	5.91320722e-07	0	0	0	0	0	0	3
38	14	0	0.910767651	-0.0200002983	-0.020000067	-0.0200002983	-0.0199997446	5.53784035e-07	0	0	0	0	0	0	3
39	14	0	0.934735221	-0.0200003228	-0.0200000946	-0.0200003228	-0.0199997898	5.33004813e-07	0	0	0	0	0	0	3
40	15	0	0.958702791	-0.0200003437	-0.0200001209	-0.0200003437	-0.0199998323	5.11398358e-07	0	0	0	0	0	0	3
