Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0239675698	0	0	0	0	0	0	0	0	0	0	0	3
2	6	0	0.0479351395	0	0	0	0	0	0	0	0	0	0	0	3
3	6	0	0.0719027093	0	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0958702791	0	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.119837849	0	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.143805419	0	0	0	0	0	0	0	0	0	0	0	3
7	7	0	0.167772988	0	0	0	0	0	0	0	0	0	0	0	3
8	7	0	0.191740558	0	0	0	0	0	0	0	0	0	0	0	3
9	8	0	0.215708128	0	0	0	0	0	0	0	0	0	0	0	3
10	8	0	0.239675698	0	0	0	0	0	0	0	0	0	0	0	3
11	8	0	0.263643267	0	0	0	0	0	0	0	0	0	0	0	3
12	9	0	0.287610837	0	0	0	0	0	0	0	0	0	0	0	3
13	9	0	0.311578407	0	0	0	0	0	0	0	0	0	0	0	3
14	9	0	0.335545977	0	0	0	0	0	0	0	0	0	0	0	3
15	9	0	0.359513547	0	0	0	0	0	0	0	0	0	0	0	3
16	9	0	0.383481116	0	0	0	0	0	0	0	0	0	0	0	3
17	10	0	0.407448686	0	0	0	0	0	0	0	0	0	0	0	3
18	10	0	0.431416256	0	0	0	0	0	0	0	0	0	0	0	3
19	10	0	0.455383826	0	0	0	0	0	0	0	0	0	0	0	3
20	10	0	0.479351395	0	0	0	0	0	0	0	0	0	0	0	3
21	10	0	0.503318965	0	0	0	0	0	0	0	0	0	0	0	3
22	11	0	0.527286535	0	0	0	0	0	0	0	0	0	0	0	3
23	11	0	0.551254105	0	0	0	0	0	0	0	0	0	0	0	3
24	11	0	0.575221674	0	0	0	0	0	0	0	0	0	0	0	3
25	11	0	0.599189244	0	0	0	0	0	0	0	0	0	0	0	3
26	12	0	0.623156814	0	0	0	0	0	0	0	0	0	0	0	3
27	12	0	0.647124384	0	0	0	0	0	0	0	0	0	0	0	3
28	12	0	0.671091954	0	0	0	0	0	0	0	0	0	0	0	3
29	12	0	0.695059523	0	0	0	0	0	0	0	0	0	0	0	3
30	12	0	0.719027093	0	0	0	0	0	0	0	0	0	0	0	3
31	13	0	0.742994663	0	0	0	0	0	0	0	0	0	0	0	3
32	13	0	0.766962233	0	0	0	0	0	0	0	0	0	0	0	3
33	13	0	0.790929802	0	0	0	0	0	0	0	0	0	0	0	3
34	13	0	0.814897372	0	0	0	0	0	0	0	0	0	0	0	3
35	13	0	0.838864942	0	0	0	0	0	0	0	0	0	0	0	3
36	14	0	0.862832512	0	0	0	0	0	0	0	0	0	0	0	3
37	14	0	0.886800082	0	0	0	0	0	0	0	0	0	0	0	3
38	14	0	0.910767651	0	0	0	0	0	0	0	0	0	0	0	3
39	14	0	0.934735221	0	0	0	0	0	0	0	0	0	0	0	3
40	15	0	0.958702791	0	0	0	0	0	0	0	0	0	0	0	3
41	15	0	0.982670361	0	0	0	0	0	0	0	0	0	0	0	3
42	15	0	1.00663793	0	0	0	0	0	5e-06	0	0	0	0	0	3
