Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0239675698	8.91317547e-08	8.91317547e-08	8.91317547e-08	8.91317547e-08	0	0	0	0	0	0	0	3
2	6	0	0.0479351395	8.94922172e-10	4.50133384e-08	8.94922172e-10	8.91317547e-08	4.41184163e-08	0	0	0	0	0	0	3
3	6	0	0.0719027093	-1.29777959e-09	2.95762991e-08	-1.29777959e-09	8.91317547e-08	5.95554556e-08	0	0	0	0	0	0	3
4	6	0	0.0958702791	1.49014964e-08	2.59075984e-08	-1.29777959e-09	8.91317547e-08	6.32241563e-08	0	0	0	0	0	0	3
5	7	0	0.119837849	-3.89290425e-09	1.99474979e-08	-3.89290425e-09	8.91317547e-08	6.91842568e-08	0	0	0	0	0	0	3
6	7	0	0.143805419	3.7041491e-09	1.72402731e-08	-3.89290425e-09	8.91317547e-08	7.18914816e-08	0	0	0	0	0	0	3
7	7	0	0.167772988	-1.35255922e-08	1.28451495e-08	-1.35255922e-08	8.91317547e-08	7.62866052e-08	0	0	0	0	0	0	3
8	7	0	0.191740558	7.43231032e-09	1.21685446e-08	-1.35255922e-08	8.91317547e-08	7.69632101e-08	0	0	0	0	0	0	3
9	8	0	0.215708128	-4.56841253e-09	1.03088827e-08	-1.35255922e-08	8.91317547e-08	7.8822872e-08	0	0	0	0	0	0	3
10	8	0	0.239675698	2.13685697e-08	1.14148514e-08	-1.35255922e-08	8.91317547e-08	7.8822872e-08	0	0	0	0	0	0	3
11	8	0	0.263643267	-1.52697543e-08	8.98897814e-09	-1.52697543e-08	8.91317547e-08	8.01427766e-08	0	0	0	0	0	0	3
12	9	0	0.287610837	1.77047301e-08	9.71529081e-09	-1.52697543e-08	8.91317547e-08	8.01427766e-08	0	0	0	0	0	0	3
13	9	0	0.311578407	-6.5440565e-09	8.46457178e-09	-1.52697543e-08	8.91317547e-08	8.06671829e-08	0	0	0	0	0	0	3
14	9	0	0.335545977	4.08832224e-09	8.15198253e-09	-1.52697543e-08	8.91317547e-08	8.09797722e-08	0	0	0	0	0	0	3
15	9	0	0.359513547	-3.36703235e-09	7.3840482e-09	-1.52697543e-08	8.91317547e-08	8.17477065e-08	0	0	0	0	0	0	3
16	9	0	0.383481116	1.75723257e-09	7.03237223e-09	-1.52697543e-08	8.91317547e-08	8.20993825e-08	0	0	0	0	0	0	3
