Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0239675698	291.149991	291.149991	291.149991	291.149991	0	0	0	0	0.00892045	0	0	3
2	6	0	0.0479351395	291.149991	291.149991	291.149991	291.149991	2.3343415e-07	0	0	0	0.00780568	0	0	3
3	6	0	0.0719027093	291.149991	291.149991	291.149991	291.149991	2.48335937e-07	0	0	0	0.00690725	0	0	3
4	6	0	0.0958702791	291.149991	291.149991	291.149991	291.149991	3.63208642e-07	0	0	0	0.00678978	0	0	3
5	7	0	0.119837849	291.149991	291.149991	291.149991	291.149991	4.052701e-07	0	0	0	0.00685299	0	0	3
6	7	0	0.143805419	291.149992	291.149991	291.149991	291.149992	5.3261715e-07	0	0	0	0.00687221	0	0	3
7	7	0	0.167772988	291.149992	291.149991	291.149991	291.149992	6.41426595e-07	0	0	0	0.00701334	0	0	3
8	7	0	0.191740558	291.149993	291.149991	291.149991	291.149993	8.21469598e-07	0	0	0	0.00708449	0	0	3
9	8	0	0.215708128	291.149993	291.149992	291.149991	291.149993	1.00686515e-06	0	0	0	0.00716396	0	0	3
10	8	0	0.239675698	291.149994	291.149992	291.149991	291.149994	1.24484291e-06	0	0	0	0.00723377	0	0	3
11	8	0	0.263643267	291.149995	291.149992	291.149991	291.149995	1.53544568e-06	0	0	0	0.00768215	0	0	3
12	9	0	0.287610837	291.149997	291.149993	291.149991	291.149997	1.89901175e-06	0	0	0	0.00792424	0	0	3
13	9	0	0.311578407	291.149998	291.149993	291.149991	291.149998	2.30410694e-06	0	0	0	0.00806788	0	0	3
14	9	0	0.335545977	291.149999	291.149993	291.149991	291.149999	2.75333491e-06	0	0	0	0.00815911	0	0	3
15	9	0	0.359513547	291.150001	291.149994	291.149991	291.150001	3.23161862e-06	0	0	0	0.00820406	0	0	3
16	9	0	0.383481116	291.150003	291.149994	291.149991	291.150003	3.7889219e-06	0	0	0	0.00827177	0	0	3
17	10	0	0.407448686	291.150005	291.149995	291.149991	291.150005	4.41052788e-06	0	0	0	0.00829078	0	0	3
18	10	0	0.431416256	291.150007	291.149996	291.149991	291.150007	5.08925689e-06	0	0	0	0.0083082	0	0	3
19	10	0	0.455383826	291.15001	291.149996	291.149991	291.15001	5.81739221e-06	0	0	0	0.00832703	0	0	3
20	10	0	0.479351395	291.150012	291.149997	291.149991	291.150012	6.5909158e-06	0	0	0	0.00834746	0	0	3
21	10	0	0.503318965	291.150016	291.149998	291.149991	291.150016	7.47173385e-06	0	0	0	0.00835924	0	0	3
22	11	0	0.527286535	291.15002	291.15	291.149991	291.15002	8.61877737e-06	0	0	0	0.00838592	0	0	3
23	11	0	0.551254105	291.150024	291.150001	291.149991	291.150024	1.01524668e-05	0	0	0	0.00840451	0	0	3
24	11	0	0.575221674	291.150028	291.150003	291.149991	291.150028	1.17874089e-05	0	0	0	0.00841763	0	0	3
25	11	0	0.599189244	291.150032	291.150005	291.149991	291.150032	1.3669239e-05	0	0	0	0.00842402	0	0	3
26	12	0	0.623156814	291.150038	291.150007	291.149992	291.150038	1.57791994e-05	0	0	0	0.00843255	0	0	3
27	12	0	0.647124384	291.150045	291.150009	291.149992	291.150045	1.81924639e-05	0	0	0	0.00842992	0	0	3
28	12	0	0.671091954	291.150051	291.150012	291.149993	291.150051	2.08455727e-05	0	0	0	0.00842086	0	0	3
29	12	0	0.695059523	291.150058	291.150015	291.149993	291.150058	2.37779194e-05	0	0	0	0.00840902	0	0	3
30	12	0	0.719027093	291.150065	291.150019	291.149994	291.150065	2.69646376e-05	0	0	0	0.00839548	0	0	3
31	13	0	0.742994663	291.150076	291.150023	291.149995	291.150076	3.05601587e-05	0	0	0	0.00836819	0	0	3
32	13	0	0.766962233	291.150086	291.150027	291.149997	291.150086	3.45217572e-05	0	0	0	0.00833804	0	0	3
33	13	0	0.790929802	291.150095	291.150032	291.149998	291.150095	3.88195834e-05	0	0	0	0.0082925	0	0	3
34	13	0	0.814897372	291.150103	291.150037	291.149999	291.150103	4.3402285e-05	0	0	0	0.00823008	0	0	3
35	13	0	0.838864942	291.15011	291.150042	291.150001	291.15011	4.82103864e-05	0	0	0	0.00815059	0	0	3
36	14	0	0.862832512	291.150118	291.150048	291.150003	291.150118	5.32648062e-05	0	0	0	0.00809771	0	0	3
37	14	0	0.886800082	291.150125	291.150054	291.150005	291.150125	5.84733611e-05	0	0	0	0.00806714	0	0	3
38	14	0	0.910767651	291.150131	291.15006	291.150007	291.150131	6.38163168e-05	0	0	0	0.00805259	0	0	3
39	14	0	0.934735221	291.150137	291.150066	291.15001	291.150137	6.92889337e-05	0	0	0	0.00804009	0	0	3
40	15	0	0.958702791	291.150143	291.150072	291.150012	291.150143	7.48926026e-05	0	0	0	0.00808418	0	0	3
41	15	0	0.982670361	291.150152	291.150079	291.150016	291.150152	8.06899764e-05	0	0	0	0.00798666	0	0	3
42	15	0	1.00663793	291.150161	291.150086	291.15002	291.150161	8.62226143e-05	1.71773628e-05	0	0	0.00802636	0	0	3
