Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.200003	293.200003	293.200003	293.200003	0	0	0	0	29.95	0	0	3
2	1	0	0.05	293.200006	293.200005	293.200003	293.200006	1.44582691e-06	0	0	0	29.95	0	0	3
3	2	0	0.075	293.200009	293.200006	293.200003	293.200009	2.89205735e-06	0	0	0	29.95	0	0	3
4	2	0	0.1	293.200012	293.200007	293.200003	293.200012	4.34880917e-06	0	0	0	29.95	0	0	3
5	2	0	0.125	293.200015	293.200009	293.200003	293.200015	5.8764594e-06	0	0	0	29.95	0	0	3
6	2	0	0.15	293.200024	293.200011	293.200003	293.200024	8.32947137e-06	0	0	0	29.95	0	0	3
7	2	0	0.175	293.200059	293.200018	293.200003	293.200059	1.51779643e-05	0	0	0	29.95	0	0	3
8	3	0	0.2	293.200281	293.200051	293.200003	293.200281	4.79884382e-05	0	0	0	29.95	0	0	3
9	3	0	0.225	293.201737	293.200238	293.200003	293.201737	0.000235313294	0	0	0	29.95	0	0	3
10	3	0	0.25	293.202554	293.20047	293.200003	293.202554	0.00046683679	0	0	0	29.95	0	0	3
11	3	0	0.275	293.203865	293.200779	293.200003	293.203865	0.00077548392	0	0	0	29.95	0	0	3
12	4	0	0.3	293.204899	293.201122	293.200003	293.204899	0.00111886197	0	0	0	29.9499	0	0	3
13	4	0	0.325	293.20581	293.201483	293.200003	293.20581	0.00147949192	0	0	0	29.9499	0	0	3
14	4	0	0.35	293.20664	293.201851	293.200003	293.20664	0.00184786938	0	0	0	29.9498	0	0	3
15	4	0	0.375	293.20741	293.202222	293.200003	293.20741	0.00221849729	0	0	0	29.9497	0	0	3
16	4	0	0.4	293.208709	293.202627	293.200003	293.208709	0.00262398987	0	0	0	29.9496	0	0	3
17	4	0	0.425	293.209992	293.20306	293.200003	293.209992	0.00305719774	0	0	0	29.9494	0	0	3
18	5	0	0.45	293.211266	293.203516	293.200003	293.211266	0.00351309248	0	0	0	29.949	0	0	3
19	5	0	0.475	293.212523	293.20399	293.200003	293.212523	0.00398715385	0	0	0	29.9485	0	0	3
20	5	0	0.5	293.213787	293.20448	293.200003	293.213787	0.00447700927	0	0	0	29.948	0	0	3
21	5	0	0.525	293.215785	293.205269	293.200006	293.215785	0.005264636	0	0	0	29.9467	0	0	3
22	5	0	0.55	293.217849	293.206161	293.200009	293.217849	0.00615532472	0	0	0	29.9459	0	0	3
23	5	0	0.575	293.220004	293.207161	293.200012	293.220004	0.00715363694	0	0	0	29.9448	0	0	3
24	5	0	0.6	293.222196	293.20827	293.200015	293.222196	0.00826129403	0	0	0	29.9437	0	0	3
