Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.200003	293.200003	293.200003	293.200003	0	0	0	0	29.95	0	0	3
2	1	0	0.05	293.200006	293.200005	293.200003	293.200006	1.44578121e-06	0	0	0	29.95	0	0	3
3	2	0	0.075	293.200009	293.200006	293.200003	293.200009	2.89194332e-06	0	0	0	29.95	0	0	3
4	2	0	0.1	293.200012	293.200007	293.200003	293.200012	4.3486034e-06	0	0	0	29.95	0	0	3
5	2	0	0.125	293.200015	293.200009	293.200003	293.200015	5.8761313e-06	0	0	0	29.95	0	0	3
6	2	0	0.15	293.200024	293.200011	293.200003	293.200024	8.32884706e-06	0	0	0	29.95	0	0	3
7	2	0	0.175	293.200059	293.200018	293.200003	293.200059	1.51755218e-05	0	0	0	29.95	0	0	3
8	3	0	0.2	293.200281	293.200051	293.200003	293.200281	4.79582767e-05	0	0	0	29.95	0	0	3
9	3	0	0.225	293.201736	293.200238	293.200003	293.201736	0.000235206476	0	0	0	29.95	0	0	3
10	3	0	0.25	293.202553	293.20047	293.200003	293.202553	0.000466646851	0	0	0	29.95	0	0	3
11	3	0	0.275	293.203864	293.200778	293.200003	293.203864	0.000775194065	0	0	0	29.95	0	0	3
12	4	0	0.3	293.204898	293.201122	293.200003	293.204898	0.00111846773	0	0	0	29.9499	0	0	3
13	4	0	0.325	293.205808	293.201482	293.200003	293.205808	0.00147899606	0	0	0	29.9499	0	0	3
14	4	0	0.35	293.206638	293.20185	293.200003	293.206638	0.00184727843	0	0	0	29.9498	0	0	3
15	4	0	0.375	293.207409	293.202221	293.200003	293.207409	0.00221781884	0	0	0	29.9497	0	0	3
16	4	0	0.4	293.208708	293.202626	293.200003	293.208708	0.00262323269	0	0	0	29.9496	0	0	3
17	4	0	0.425	293.20999	293.203059	293.200003	293.20999	0.00305636961	0	0	0	29.9494	0	0	3
18	5	0	0.45	293.211264	293.203515	293.200003	293.211264	0.00351220047	0	0	0	29.949	0	0	3
19	5	0	0.475	293.212521	293.203989	293.200003	293.212521	0.00398620382	0	0	0	29.9485	0	0	3
20	5	0	0.5	293.213785	293.204479	293.200003	293.213785	0.00447600551	0	0	0	29.948	0	0	3
21	5	0	0.525	293.215782	293.205268	293.200006	293.215782	0.00526352435	0	0	0	29.9467	0	0	3
22	5	0	0.55	293.217846	293.20616	293.200009	293.217846	0.00615409975	0	0	0	29.9459	0	0	3
23	5	0	0.575	293.220002	293.20716	293.200012	293.220002	0.00715229424	0	0	0	29.9448	0	0	3
24	5	0	0.6	293.222193	293.208269	293.200015	293.222193	0.00825982957	0	0	0	29.9437	0	0	3
25	6	0	0.625	293.224384	293.209487	293.200024	293.224384	0.00947584409	0	0	0	29.9424	0	0	3
26	6	0	0.65	293.227796	293.210876	293.200059	293.227796	0.0108576237	0	0	0	29.9402	0	0	3
27	6	0	0.675	293.231323	293.212439	293.200281	293.231323	0.0123879995	0	0	0	29.9379	0	0	3
28	6	0	0.7	293.234959	293.214173	293.201736	293.234959	0.0139346874	0	0	0	29.9354	0	0	3
29	6	0	0.725	293.238769	293.216025	293.202553	293.238769	0.0155548995	0	0	0	29.9327	0	0	3
30	6	0	0.75	293.242575	293.218026	293.203864	293.242575	0.0172474824	0	0	0	29.9297	0	0	3
31	7	0	0.775	293.248672	293.220266	293.204898	293.248672	0.0191446184	0	0	0	29.9245	0	0	3
32	7	0	0.8	293.254611	293.222752	293.205808	293.254611	0.0212697663	0	0	0	29.9193	0	0	3
33	7	0	0.825	293.260662	293.225495	293.206638	293.260662	0.0236441585	0	0	0	29.9136	0	0	3
34	7	0	0.85	293.266594	293.228492	293.207409	293.266594	0.0262713939	0	0	0	29.908	0	0	3
35	7	0	0.875	293.272619	293.231753	293.208708	293.272619	0.0291264928	0	0	0	29.9021	0	0	3
36	7	0	0.9	293.281424	293.235389	293.20999	293.281424	0.0323291609	0	0	0	29.8936	0	0	3
37	7	0	0.925	293.29049	293.239414	293.211264	293.29049	0.035898356	0	0	0	29.8846	0	0	3
38	8	0	0.95	293.299115	293.243806	293.212521	293.299115	0.0398168682	0	0	0	29.8756	0	0	3
39	8	0	0.975	293.308074	293.248584	293.213785	293.308074	0.0441047213	0	0	0	29.8663	0	0	3
40	8	0	1	293.316891	293.253739	293.215782	293.316891	0.0484710167	0.0175322478	0	36.1	29.8575	0	0	3
41	8	0	1.025	293.32994	293.259447	293.217846	293.32994	0.0532868921	0.0194897172	0	36.5	29.8424	0	0	3
42	8	0	1.05	293.34298	293.265704	293.220002	293.34298	0.0585439166	0.0204676875	0	34.9	29.83	0	0	3
43	8	0	1.075	293.354937	293.27245	293.222193	293.354937	0.0641815851	0.0213913608	0	33.3	29.8163	0	0	3
44	9	0	1.1	293.367067	293.276956	293.222193	293.367067	0.0686871287	0.0223079601	0	32.4	29.8031	0	0	3
