Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
2	1	0	0.05	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
3	2	0	0.075	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
4	2	0	0.1	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
5	2	0	0.125	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
6	2	0	0.15	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
7	2	0	0.175	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
8	3	0	0.2	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
9	3	0	0.225	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
10	3	0	0.25	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
11	3	0	0.275	323.15	323.15	323.15	323.15	0	0	0	0	29.95	0	0	3
12	4	0	0.3	323.15	323.15	323.15	323.15	0	0	0	0	29.9499	0	0	3
13	4	0	0.325	323.15	323.15	323.15	323.15	0	0	0	0	29.9499	0	0	3
14	4	0	0.35	323.15	323.15	323.15	323.15	0	0	0	0	29.9498	0	0	3
15	4	0	0.375	323.15	323.15	323.15	323.15	0	0	0	0	29.9497	0	0	3
16	4	0	0.4	323.15	323.15	323.15	323.15	0	0	0	0	29.9496	0	0	3
17	4	0	0.425	323.15	323.15	323.15	323.15	0	0	0	0	29.9494	0	0	3
18	5	0	0.45	323.15	323.15	323.15	323.15	0	0	0	0	29.949	0	0	3
19	5	0	0.475	323.15	323.15	323.15	323.15	0	0	0	0	29.9485	0	0	3
20	5	0	0.5	323.15	323.15	323.15	323.15	0	0	0	0	29.948	0	0	3
21	5	0	0.525	323.15	323.15	323.15	323.15	0	0	0	0	29.9467	0	0	3
22	5	0	0.55	323.15	323.15	323.15	323.15	0	0	0	0	29.9459	0	0	3
23	5	0	0.575	323.15	323.15	323.15	323.15	0	0	0	0	29.9448	0	0	3
24	5	0	0.6	323.15	323.15	323.15	323.15	0	0	0	0	29.9437	0	0	3
25	6	0	0.625	323.15	323.15	323.15	323.15	0	0	0	0	29.9424	0	0	3
26	6	0	0.65	323.15	323.15	323.15	323.15	0	0	0	0	29.9402	0	0	3
27	6	0	0.675	323.15	323.15	323.15	323.15	0	0	0	0	29.9379	0	0	3
28	6	0	0.7	323.15	323.15	323.15	323.15	0	0	0	0	29.9354	0	0	3
29	6	0	0.725	323.15	323.15	323.15	323.15	0	0	0	0	29.9327	0	0	3
30	6	0	0.75	323.15	323.15	323.15	323.15	0	0	0	0	29.9297	0	0	3
31	7	0	0.775	323.15	323.15	323.15	323.15	0	0	0	0	29.9245	0	0	3
32	7	0	0.8	323.15	323.15	323.15	323.15	0	0	0	0	29.9193	0	0	3
33	7	0	0.825	323.15	323.15	323.15	323.15	0	0	0	0	29.9136	0	0	3
34	7	0	0.85	323.15	323.15	323.15	323.15	0	0	0	0	29.908	0	0	3
35	7	0	0.875	323.15	323.15	323.15	323.15	0	0	0	0	29.9021	0	0	3
36	7	0	0.9	323.15	323.15	323.15	323.15	0	0	0	0	29.8936	0	0	3
37	7	0	0.925	323.15	323.15	323.15	323.15	0	0	0	0	29.8846	0	0	3
38	8	0	0.95	323.15	323.15	323.15	323.15	0	0	0	0	29.8756	0	0	3
39	8	0	0.975	323.15	323.15	323.15	323.15	0	0	0	0	29.8663	0	0	3
40	8	0	1	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.8575	0	0	3
41	8	0	1.025	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.8424	0	0	3
42	8	0	1.05	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.83	0	0	3
43	8	0	1.075	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.8163	0	0	3
44	9	0	1.1	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.8031	0	0	3
45	9	0	1.125	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.7903	0	0	3
46	9	0	1.15	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.7801	0	0	3
47	9	0	1.175	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.7666	0	0	3
48	9	0	1.2	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.7538	0	0	3
49	9	0	1.225	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.7405	0	0	3
50	10	0	1.25	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.731	0	0	3
51	10	0	1.275	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.719	0	0	3
52	10	0	1.3	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.7041	0	0	3
53	10	0	1.325	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.6947	0	0	3
54	10	0	1.35	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.6834	0	0	3
55	11	0	1.375	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.6696	0	0	3
56	11	0	1.4	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.66	0	0	3
57	11	0	1.425	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.6482	0	0	3
58	11	0	1.45	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.6372	0	0	3
59	11	0	1.475	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.6221	0	0	3
60	11	0	1.5	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.6095	0	0	3
61	12	0	1.525	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.5971	0	0	3
62	12	0	1.55	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.5867	0	0	3
63	12	0	1.575	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.5717	0	0	3
64	12	0	1.6	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.5604	0	0	3
65	12	0	1.625	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.5502	0	0	3
66	12	0	1.65	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.5384	0	0	3
67	13	0	1.675	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.5253	0	0	3
68	13	0	1.7	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.5131	0	0	3
69	13	0	1.725	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.5015	0	0	3
70	13	0	1.75	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.4894	0	0	3
71	13	0	1.775	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.476	0	0	3
72	13	0	1.8	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.4645	0	0	3
73	14	0	1.825	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.4551	0	0	3
74	14	0	1.85	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.442	0	0	3
75	14	0	1.875	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.4315	0	0	3
76	14	0	1.9	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.4199	0	0	3
77	14	0	1.925	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.4071	0	0	3
78	14	0	1.95	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.3926	0	0	3
79	15	0	1.975	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.3782	0	0	3
80	15	0	2	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.37	0	0	3
81	15	0	2.025	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.3555	0	0	3
82	15	0	2.05	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.3431	0	0	3
83	15	0	2.075	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.3342	0	0	3
84	15	0	2.1	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.3205	0	0	3
85	16	0	2.125	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.3106	0	0	3
86	16	0	2.15	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.2956	0	0	3
87	16	0	2.175	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.2856	0	0	3
88	16	0	2.2	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.2732	0	0	3
89	16	0	2.225	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.2603	0	0	3
90	17	0	2.25	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.2498	0	0	3
91	17	0	2.275	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.2387	0	0	3
92	17	0	2.3	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.2249	0	0	3
93	17	0	2.325	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.2139	0	0	3
94	17	0	2.35	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.2006	0	0	3
95	18	0	2.375	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.1865	0	0	3
96	18	0	2.4	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.1744	0	0	3
97	18	0	2.425	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.1643	0	0	3
98	18	0	2.45	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.1511	0	0	3
99	18	0	2.475	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.1386	0	0	3
100	19	0	2.5	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.1275	0	0	3
101	19	0	2.525	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.1161	0	0	3
102	19	0	2.55	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.1035	0	0	3
103	19	0	2.575	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.0912	0	0	3
104	19	0	2.6	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.0791	0	0	3
105	20	0	2.625	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.0652	0	0	3
106	20	0	2.65	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.054	0	0	3
107	20	0	2.675	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.0417	0	0	3
108	20	0	2.7	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.028	0	0	3
109	20	0	2.725	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.0149	0	0	3
110	21	0	2.75	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	29.003	0	0	3
111	21	0	2.775	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.9948	0	0	3
112	21	0	2.8	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.9809	0	0	3
113	21	0	2.825	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.97	0	0	3
114	21	0	2.85	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.96	0	0	3
115	22	0	2.875	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.9445	0	0	3
116	22	0	2.9	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.9337	0	0	3
117	22	0	2.925	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.9227	0	0	3
118	22	0	2.95	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.9109	0	0	3
119	22	0	2.975	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.9019	0	0	3
120	22	0	3	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.8871	0	0	3
121	23	0	3.025	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.8725	0	0	3
122	23	0	3.05	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.8628	0	0	3
123	23	0	3.075	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.8516	0	0	3
124	23	0	3.1	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.8403	0	0	3
125	24	0	3.125	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.826	0	0	3
126	24	0	3.15	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.8155	0	0	3
127	24	0	3.175	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.8032	0	0	3
128	24	0	3.2	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.7895	0	0	3
129	24	0	3.225	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.7765	0	0	3
130	24	0	3.25	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.7668	0	0	3
131	25	0	3.275	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.7563	0	0	3
132	25	0	3.3	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.7419	0	0	3
133	25	0	3.325	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.7309	0	0	3
134	25	0	3.35	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.7195	0	0	3
135	25	0	3.375	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.706	0	0	3
136	25	0	3.4	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.6962	0	0	3
137	26	0	3.425	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.6838	0	0	3
138	26	0	3.45	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.6703	0	0	3
139	26	0	3.475	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.6598	0	0	3
140	26	0	3.5	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.6477	0	0	3
141	26	0	3.525	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.6351	0	0	3
142	27	0	3.55	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.6244	0	0	3
143	27	0	3.575	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.6121	0	0	3
144	27	0	3.6	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.5996	0	0	3
145	27	0	3.625	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.5883	0	0	3
146	27	0	3.65	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.5783	0	0	3
147	28	0	3.675	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.5656	0	0	3
148	28	0	3.7	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.5559	0	0	3
149	28	0	3.725	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.5433	0	0	3
150	28	0	3.75	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.533	0	0	3
151	28	0	3.775	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.5205	0	0	3
152	28	0	3.8	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.5095	0	0	3
153	29	0	3.825	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.4989	0	0	3
154	29	0	3.85	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.4875	0	0	3
155	29	0	3.875	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.477	0	0	3
156	29	0	3.9	323.15	323.15	323.15	323.15	0	3.2315e-06	0	100	28.4646	0	0	3
