Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.2	293.2	293.2	293.2	0	0	0	0	29.95	0	0	3
2	1	0	0.05	293.2	293.2	293.2	293.2	3.02577519e-10	0	0	0	29.95	0	0	3
3	2	0	0.075	293.2	293.2	293.2	293.2	7.30778993e-10	0	0	0	29.95	0	0	3
4	2	0	0.1	293.2	293.2	293.2	293.2	1.28852662e-09	0	0	0	29.95	0	0	3
5	2	0	0.125	293.2	293.2	293.2	293.2	2.03857553e-09	0	0	0	29.95	0	0	3
6	2	0	0.15	293.2	293.2	293.2	293.2	3.0117917e-09	0	0	0	29.95	0	0	3
7	2	0	0.175	293.2	293.2	293.2	293.2	4.20527613e-09	0	0	0	29.95	0	0	3
8	3	0	0.2	293.2	293.2	293.2	293.2	5.79427706e-09	0	0	0	29.95	0	0	3
9	3	0	0.225	293.2	293.2	293.2	293.2	2.66750817e-08	0	0	0	29.95	0	0	3
10	3	0	0.25	293.2	293.2	293.2	293.2	6.01305601e-08	0	0	0	29.95	0	0	3
11	3	0	0.275	293.200018	293.200002	293.2	293.200018	1.71282807e-06	0	0	0	29.95	0	0	3
12	4	0	0.3	293.200057	293.200006	293.2	293.200057	6.34808242e-06	0	0	0	29.9499	0	0	3
13	4	0	0.325	293.20011	293.200014	293.2	293.20011	1.43140068e-05	0	0	0	29.9499	0	0	3
14	4	0	0.35	293.200175	293.200026	293.2	293.200175	2.57685215e-05	0	0	0	29.9498	0	0	3
15	4	0	0.375	293.200251	293.200041	293.2	293.200251	4.08156167e-05	0	0	0	29.9497	0	0	3
16	4	0	0.4	293.200407	293.200064	293.2	293.200407	6.36749085e-05	0	0	0	29.9496	0	0	3
17	4	0	0.425	293.200634	293.200097	293.2	293.200634	9.72483734e-05	0	0	0	29.9494	0	0	3
18	5	0	0.45	293.200981	293.200146	293.2	293.200981	0.000146336503	0	0	0	29.949	0	0	3
19	5	0	0.475	293.201464	293.200216	293.2	293.201464	0.000215681614	0	0	0	29.9485	0	0	3
20	5	0	0.5	293.202032	293.200307	293.2	293.202032	0.000306510384	0	0	0	29.948	0	0	3
21	5	0	0.525	293.203255	293.200469	293.2	293.203255	0.000469253827	0	0	0	29.9467	0	0	3
22	5	0	0.55	293.204108	293.200675	293.2	293.204108	0.000674637413	0	0	0	29.9459	0	0	3
23	5	0	0.575	293.205159	293.200933	293.2	293.205159	0.000932578214	0	0	0	29.9448	0	0	3
24	5	0	0.6	293.206272	293.201246	293.2	293.206272	0.00124619259	0	0	0	29.9437	0	0	3
25	6	0	0.625	293.207585	293.201625	293.2	293.207585	0.00162546531	0	0	0	29.9424	0	0	3
26	6	0	0.65	293.209842	293.202118	293.2	293.209842	0.00211755757	0	0	0	29.9402	0	0	3
27	6	0	0.675	293.212137	293.202724	293.2	293.212137	0.002724382	0	0	0	29.9379	0	0	3
28	6	0	0.7	293.214619	293.203455	293.2	293.214619	0.00345530884	0	0	0	29.9354	0	0	3
29	6	0	0.725	293.217344	293.204323	293.2	293.217344	0.00432248082	0	0	0	29.9327	0	0	3
30	6	0	0.75	293.22032	293.205339	293.200018	293.22032	0.00533679248	0	0	0	29.9297	0	0	3
31	7	0	0.775	293.225547	293.206615	293.200057	293.225547	0.00660860316	0	0	0	29.9245	0	0	3
32	7	0	0.8	293.230747	293.208149	293.20011	293.230747	0.00813510186	0	0	0	29.9193	0	0	3
33	7	0	0.825	293.236359	293.209962	293.200175	293.236359	0.00993609024	0	0	0	29.9136	0	0	3
34	7	0	0.85	293.242029	293.212055	293.200251	293.242029	0.0120137635	0	0	0	29.908	0	0	3
35	7	0	0.875	293.247867	293.214435	293.200407	293.247867	0.0143716561	0	0	0	29.9021	0	0	3
36	7	0	0.9	293.256354	293.217233	293.200634	293.256354	0.0171354318	0	0	0	29.8936	0	0	3
37	7	0	0.925	293.265401	293.220471	293.200981	293.265401	0.0203246629	0	0	0	29.8846	0	0	3
38	8	0	0.95	293.274356	293.22414	293.201464	293.274356	0.0239240558	0	0	0	29.8756	0	0	3
39	8	0	0.975	293.283743	293.228254	293.202032	293.283743	0.0279471753	0	0	0	29.8663	0	0	3
40	8	0	1	293.292481	293.232776	293.203255	293.292481	0.0323068802	0.0138721842	0	42.9	29.8575	0	0	3
41	8	0	1.025	293.307578	293.237992	293.204108	293.307578	0.0373176737	0.0161367634	0	43.2	29.8424	0	0	3
42	8	0	1.05	293.319967	293.243785	293.205159	293.319967	0.0428527089	0.0170659225	0	39.8	29.83	0	0	3
43	8	0	1.075	293.333705	293.250213	293.206272	293.333705	0.0489663954	0.0180625246	0	36.8	29.8163	0	0	3
44	9	0	1.1	293.346895	293.254817	293.206272	293.346895	0.0535703081	0.0190554467	0	35.5	29.8031	0	0	3
45	9	0	1.125	293.359713	293.262123	293.207585	293.359713	0.0604977161	0.0200357357	0	33.1	29.7903	0	0	3
46	9	0	1.15	293.369917	293.269853	293.209842	293.369917	0.0677356773	0.0209443619	0	30.9	29.7801	0	0	3
47	9	0	1.175	293.383369	293.278116	293.212137	293.383369	0.0753920545	0.0218816488	0	29	29.7666	0	0	3
48	9	0	1.2	293.396177	293.28688	293.214619	293.396177	0.0834249325	0.0228247587	0	27.3	29.7538	0	0	3
49	9	0	1.225	293.409481	293.296159	293.217344	293.409481	0.0918368805	0.0237800244	0	25.8	29.7405	0	0	3
50	10	0	1.25	293.419045	293.305764	293.22032	293.419045	0.100425707	0.02468769	0	24.5	29.731	0	0	3
51	10	0	1.275	293.431043	293.315799	293.225547	293.431043	0.109183725	0.0255936978	0	23.4	29.719	0	0	3
52	10	0	1.3	293.445921	293.326293	293.230747	293.445921	0.118143269	0.0265341896	0	22.4	29.7041	0	0	3
53	10	0	1.325	293.455316	293.336986	293.236359	293.455316	0.127024607	0.0274377842	0	21.6	29.6947	0	0	3
54	10	0	1.35	293.466626	293.347952	293.242029	293.466626	0.13589701	0.0283327817	0	20.8	29.6834	0	0	3
55	11	0	1.375	293.480426	293.359304	293.247867	293.480426	0.144868495	0.0292456756	0	20.1	29.6696	0	0	3
56	11	0	1.4	293.490027	293.370835	293.256354	293.490027	0.153602616	0.030133016	0	19.6	29.66	0	0	3
57	11	0	1.425	293.501802	293.382523	293.265401	293.501802	0.162052332	0.0310178492	0	19.1	29.6482	0	0	3
58	11	0	1.45	293.512756	293.394302	293.274356	293.512756	0.170162398	0.0318927591	0	18.7	29.6372	0	0	3
59	11	0	1.475	293.527859	293.406374	293.283743	293.527859	0.178120024	0.0327909936	0	18.4	29.6221	0	0	3
60	11	0	1.5	293.540454	293.418598	293.292481	293.540454	0.185821904	0.0336896052	0	18.1	29.6095	0	0	3
61	12	0	1.525	293.552882	293.430998	293.307578	293.552882	0.193005772	0.0345826761	0	17.9	29.5971	0	0	3
62	12	0	1.55	293.563323	293.443176	293.319967	293.563323	0.1993911	0.0354599306	0	17.7	29.5867	0	0	3
63	12	0	1.575	293.578283	293.455477	293.333705	293.578283	0.20526453	0.0363516102	0	17.7	29.5717	0	0	3
64	12	0	1.6	293.589559	293.467661	293.346895	293.589559	0.212844142	0.0372325009	0	17.4	29.5604	0	0	3
65	12	0	1.625	293.599765	293.479702	293.359713	293.599765	0.21757891	0.0380962792	0	17.5	29.5502	0	0	3
66	12	0	1.65	293.611594	293.491696	293.369917	293.611594	0.221843221	0.03894884	0	17.5	29.5384	0	0	3
67	13	0	1.675	293.624688	293.503828	293.383369	293.624688	0.225711964	0.0397982402	0	17.6	29.5253	0	0	3
68	13	0	1.7	293.636866	293.5159	293.396177	293.636866	0.22901943	0.0406389136	0	17.7	29.5131	0	0	3
69	13	0	1.725	293.648462	293.527913	293.409481	293.648462	0.231753847	0.0414674902	0	17.8	29.5015	0	0	3
70	13	0	1.75	293.660595	293.539871	293.419045	293.660595	0.234106862	0.0422866178	0	18	29.4894	0	0	3
71	13	0	1.775	293.674023	293.552013	293.431043	293.674023	0.236214208	0.0430925774	0	18.2	29.476	0	0	3
72	13	0	1.8	293.685532	293.564131	293.445921	293.685532	0.237838705	0.0438777409	0	18.4	29.4645	0	0	3
73	14	0	1.825	293.694878	293.575986	293.455316	293.694878	0.239000014	0.0446322917	0	18.6	29.4551	0	0	3
74	14	0	1.85	293.708044	293.588021	293.466626	293.708044	0.240069575	0.0453755271	0	18.9	29.442	0	0	3
75	14	0	1.875	293.71854	293.600017	293.480426	293.71854	0.238113443	0.0460962535	0	19.3	29.4315	0	0	3
76	14	0	1.9	293.730068	293.611905	293.490027	293.730068	0.240040471	0.0467896116	0	19.4	29.4199	0	0	3
77	14	0	1.925	293.742877	293.623945	293.501802	293.742877	0.241074845	0.0474607423	0	19.6	29.4071	0	0	3
78	14	0	1.95	293.757386	293.636116	293.512756	293.757386	0.241813716	0.0481184745	0	19.8	29.3926	0	0	3
79	15	0	1.975	293.771779	293.64845	293.527859	293.771779	0.242076587	0.0487617297	0	20.1	29.3782	0	0	3
80	15	0	2	293.779988	293.660456	293.540454	293.779988	0.239534172	0.0493708366	0	20.6	29.37	0	0	3
81	15	0	2.025	293.794514	293.672555	293.552882	293.794514	0.241556462	0.0499481404	0	20.6	29.3555	0	0	3
82	15	0	2.05	293.80691	293.684651	293.563323	293.80691	0.241474699	0.0504979788	0	20.9	29.3431	0	0	3
83	15	0	2.075	293.815758	293.696672	293.578283	293.815758	0.237475166	0.051005187	0	21.4	29.3342	0	0	3
84	15	0	2.1	293.829506	293.708635	293.589559	293.829506	0.239946764	0.0514912426	0	21.4	29.3205	0	0	3
85	16	0	2.125	293.839406	293.720532	293.599765	293.839406	0.239641245	0.0519459722	0	21.6	29.3106	0	0	3
86	16	0	2.15	293.854391	293.732657	293.611594	293.854391	0.24096088	0.0523965195	0	21.7	29.2956	0	0	3
87	16	0	2.175	293.86441	293.744696	293.624688	293.86441	0.239722084	0.0528169354	0	22	29.2856	0	0	3
88	16	0	2.2	293.876799	293.756701	293.636866	293.876799	0.239932868	0.0532185271	0	22.1	29.2732	0	0	3
89	16	0	2.225	293.889705	293.768741	293.648462	293.889705	0.240828129	0.0536025063	0	22.2	29.2603	0	0	3
90	17	0	2.25	293.900201	293.780729	293.660595	293.900201	0.23960587	0.0539739244	0	22.5	29.2498	0	0	3
91	17	0	2.275	293.911255	293.792665	293.674023	293.911255	0.237232488	0.0543280004	0	22.9	29.2387	0	0	3
92	17	0	2.3	293.925128	293.804623	293.685532	293.925128	0.239595816	0.0546655576	0	22.8	29.2249	0	0	3
93	17	0	2.325	293.936138	293.816556	293.694878	293.936138	0.240569719	0.0549949503	0	22.8	29.2139	0	0	3
94	17	0	2.35	293.949419	293.828677	293.708044	293.949419	0.240656002	0.0553176147	0	22.9	29.2006	0	0	3
95	18	0	2.375	293.963501	293.840842	293.71854	293.963501	0.240824715	0.0556293157	0	23	29.1865	0	0	3
96	18	0	2.4	293.97556	293.853081	293.730068	293.97556	0.241176082	0.0559364689	0	23.1	29.1744	0	0	3
97	18	0	2.425	293.985725	293.865255	293.742877	293.985725	0.241309789	0.0562286093	0	23.3	29.1643	0	0	3
98	18	0	2.45	293.998857	293.877445	293.757386	293.998857	0.241328658	0.0565163094	0	23.4	29.1511	0	0	3
99	18	0	2.475	294.011402	293.889541	293.771779	294.011402	0.239623229	0.056787754	0	23.6	29.1386	0	0	3
100	19	0	2.5	294.022451	293.901477	293.779988	294.022451	0.241020835	0.0570462849	0	23.6	29.1275	0	0	3
101	19	0	2.525	294.033908	293.913569	293.794514	294.033908	0.239394759	0.0572939515	0	23.9	29.1161	0	0	3
102	19	0	2.55	294.046514	293.925569	293.80691	294.046514	0.239604662	0.0575388669	0	24	29.1035	0	0	3
103	19	0	2.575	294.058819	293.937564	293.815758	294.058819	0.24089266	0.0577696861	0	23.9	29.0912	0	0	3
104	19	0	2.6	294.070918	293.949715	293.829506	294.070918	0.241080164	0.0579952211	0	24	29.0791	0	0	3
105	20	0	2.625	294.084814	293.961872	293.839406	294.084814	0.241340181	0.0582223293	0	24.1	29.0652	0	0	3
106	20	0	2.65	294.095957	293.974089	293.854391	294.095957	0.241431818	0.0584409962	0	24.2	29.054	0	0	3
107	20	0	2.675	294.108252	293.986178	293.86441	294.108252	0.241481605	0.0586513491	0	24.2	29.0417	0	0	3
108	20	0	2.7	294.121958	293.998442	293.876799	294.121958	0.241740481	0.0588588837	0	24.3	29.028	0	0	3
109	20	0	2.725	294.135051	294.01074	293.889705	294.135051	0.241998283	0.0590636594	0	24.4	29.0149	0	0	3
110	21	0	2.75	294.147032	294.022993	293.900201	294.147032	0.242264378	0.0592622569	0	24.4	29.003	0	0	3
111	21	0	2.775	294.155191	294.035136	293.911255	294.155191	0.242470539	0.0594441288	0	24.5	28.9948	0	0	3
112	21	0	2.8	294.169098	294.047414	293.925128	294.169098	0.242791357	0.059625944	0	24.5	28.9809	0	0	3
113	21	0	2.825	294.179992	294.05955	293.936138	294.179992	0.242994121	0.0598059601	0	24.6	28.97	0	0	3
114	21	0	2.85	294.189968	294.071637	293.949419	294.189968	0.240549105	0.0599746429	0	24.9	28.96	0	0	3
115	22	0	2.875	294.205499	294.083832	293.963501	294.205499	0.241998006	0.060148899	0	24.8	28.9445	0	0	3
116	22	0	2.9	294.216253	294.095868	293.97556	294.216253	0.240692518	0.0603170412	0	25	28.9337	0	0	3
117	22	0	2.925	294.227289	294.107855	293.985725	294.227289	0.241563585	0.0604773625	0	25	28.9227	0	0	3
118	22	0	2.95	294.239127	294.119921	293.998857	294.239127	0.240270227	0.0606284374	0	25.2	28.9109	0	0	3
119	22	0	2.975	294.248133	294.131792	294.011402	294.248133	0.23673087	0.0607654586	0	25.6	28.9019	0	0	3
120	22	0	3	294.262935	294.143769	294.022451	294.262935	0.2404838	0.060911416	0	25.3	28.8871	0	0	3
121	23	0	3.025	294.277467	294.155913	294.033908	294.277467	0.24234428	0.0610537814	0	25.1	28.8725	0	0	3
122	23	0	3.05	294.287214	294.167975	294.046514	294.287214	0.240699449	0.0611878282	0	25.4	28.8628	0	0	3
123	23	0	3.075	294.298359	294.179968	294.058819	294.298359	0.239539595	0.0613227958	0	25.6	28.8516	0	0	3
124	23	0	3.1	294.309711	294.191915	294.070918	294.309711	0.238792157	0.0614502713	0	25.7	28.8403	0	0	3
125	24	0	3.125	294.323956	294.203964	294.084814	294.323956	0.239142594	0.0615824146	0	25.7	28.826	0	0	3
126	24	0	3.15	294.334484	294.215853	294.095957	294.334484	0.238527455	0.0617037117	0	25.8	28.8155	0	0	3
127	24	0	3.175	294.346834	294.2278	294.108252	294.346834	0.238582186	0.0618262398	0	25.9	28.8032	0	0	3
128	24	0	3.2	294.360539	294.239814	294.121958	294.360539	0.238581197	0.0619482252	0	25.9	28.7895	0	0	3
129	24	0	3.225	294.373531	294.251793	294.135051	294.373531	0.238480189	0.0620676163	0	26	28.7765	0	0	3
130	24	0	3.25	294.383218	294.263611	294.147032	294.383218	0.236186207	0.0621830043	0	26.3	28.7668	0	0	3
