Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101324.994	101324.994	101324.994	101324.994	0	0	0	0	5.73886	0	0	3
2	1	0	0.05	101324.994	101324.994	101324.994	101324.994	1.16415322e-10	0	0	0	5.73886	0	0	3
3	2	0	0.075	101324.994	101324.994	101324.994	101324.994	2.18278728e-10	0	0	0	5.73887	0	0	3
4	2	0	0.1	101324.994	101324.994	101324.994	101324.994	2.76486389e-10	0	0	0	5.73886	0	0	3
5	2	0	0.125	101324.994	101324.994	101324.994	101324.994	2.76486389e-10	0	0	0	5.73887	0	0	3
6	2	0	0.15	101324.994	101324.994	101324.994	101324.994	2.76486389e-10	0	0	0	5.73887	0	0	3
7	2	0	0.175	101325.007	101324.996	101324.994	101325.007	0.00176065494	0	0	0	5.73886	0	0	3
8	3	0	0.2	101325.083	101325.007	101324.994	101325.083	0.0126357428	0	0	0	5.73887	0	0	3
9	3	0	0.225	101325.586	101325.071	101324.994	101325.586	0.0769923956	0	0	0	5.73887	0	0	3
10	3	0	0.25	101325.868	101325.151	101324.994	101325.868	0.156691756	0	0	0	5.73889	0	0	3
11	3	0	0.275	101326.322	101325.258	101324.994	101326.322	0.263089312	0	0	0	5.73891	0	0	3
12	4	0	0.3	101326.679	101325.376	101324.994	101326.679	0.381526276	0	0	0	5.73893	0	0	3
13	4	0	0.325	101326.994	101325.5	101324.994	101326.994	0.505955795	0	0	0	5.73894	0	0	3
14	4	0	0.35	101327.28	101325.628	101324.994	101327.28	0.633088269	0	0	0	5.73895	0	0	3
15	4	0	0.375	101327.547	101325.755	101324.994	101327.547	0.76101971	0	0	0	5.73896	0	0	3
16	4	0	0.4	101327.995	101325.895	101324.994	101327.995	0.901017964	0	0	0	5.73897	0	0	3
17	4	0	0.425	101328.439	101326.045	101324.994	101328.439	1.05060931	0	0	0	5.73898	0	0	3
18	5	0	0.45	101328.879	101326.203	101324.994	101328.879	1.20805368	0	0	0	5.73899	0	0	3
19	5	0	0.475	101329.313	101326.366	101324.994	101329.313	1.37178691	0	0	0	5.73899	0	0	3
20	5	0	0.5	101329.75	101326.535	101324.994	101329.75	1.54098722	0	0	0	5.73899	0	0	3
21	5	0	0.525	101330.44	101326.808	101324.994	101330.44	1.81328429	0	0	0	5.73899	0	0	3
22	5	0	0.55	101331.154	101327.116	101324.994	101331.154	2.12124608	0	0	0	5.73899	0	0	3
23	5	0	0.575	101331.899	101327.461	101324.994	101331.899	2.46645282	0	0	0	5.73898	0	0	3
24	5	0	0.6	101332.656	101327.844	101324.994	101332.656	2.84952111	0	0	0	5.73897	0	0	3
25	6	0	0.625	101333.413	101328.265	101324.994	101333.413	3.27045418	0	0	0	5.73895	0	0	3
26	6	0	0.65	101334.592	101328.745	101325.007	101334.592	3.74857939	0	0	0	5.73895	0	0	3
27	6	0	0.675	101335.811	101329.285	101325.083	101335.811	4.27790561	0	0	0	5.73895	0	0	3
28	6	0	0.7	101337.068	101329.884	101325.586	101337.068	4.8127681	0	0	0	5.73896	0	0	3
29	6	0	0.725	101338.384	101330.524	101325.868	101338.384	5.37296868	0	0	0	5.73896	0	0	3
30	6	0	0.75	101339.7	101331.216	101326.322	101339.7	5.958128	0	0	0	5.73897	0	0	3
31	7	0	0.775	101341.806	101331.99	101326.679	101341.806	6.61393892	0	0	0	5.73898	0	0	3
32	7	0	0.8	101343.859	101332.849	101326.994	101343.859	7.34851727	0	0	0	5.73898	0	0	3
33	7	0	0.825	101345.95	101333.797	101327.28	101345.95	8.16920699	0	0	0	5.73898	0	0	3
34	7	0	0.85	101348	101334.833	101327.547	101348	9.07725642	0	0	0	5.73898	0	0	3
35	7	0	0.875	101350.082	101335.96	101327.995	101350.082	10.0640365	0	0	0	5.73899	0	0	3
36	7	0	0.9	101353.125	101337.216	101328.439	101353.125	11.1709182	0	0	0	5.73899	0	0	3
37	7	0	0.925	101356.258	101338.607	101328.879	101356.258	12.4044551	0	0	0	5.73899	0	0	3
38	8	0	0.95	101359.239	101340.125	101329.313	101359.239	13.7587013	0	0	0	5.73899	0	0	3
39	8	0	0.975	101362.335	101341.776	101329.75	101362.335	15.2405781	0	0	0	5.73899	0	0	3
40	8	0	1	101365.382	101343.558	101330.44	101365.382	16.7498521	6.0580822	0	0	5.73899	0	0	3
41	8	0	1.025	101369.891	101345.53	101331.154	101369.891	18.4144435	6.7345507	0	0	5.73899	0	0	3
42	8	0	1.05	101374.398	101347.692	101331.899	101374.398	20.2314386	7.07252078	0	0	5.73899	0	0	3
43	8	0	1.075	101378.53	101350.024	101332.656	101378.53	22.1799271	7.39177742	0	0	5.73898	0	0	3
44	9	0	1.1	101382.722	101351.581	101332.656	101382.722	23.7369672	7.70860642	0	0	5.73898	0	0	3
45	9	0	1.125	101387.087	101354.173	101333.413	101387.087	25.9079971	8.02966278	0	0	5.73898	0	0	3
46	9	0	1.15	101391.131	101356.921	101334.592	101391.131	28.1765864	8.34480166	0	0	5.73897	0	0	3
47	9	0	1.175	101395.412	101359.818	101335.811	101395.412	30.5325807	8.66137644	0	0	5.73897	0	0	3
48	9	0	1.2	101399.865	101362.868	101337.068	101399.865	32.9835451	8.98085645	0	0	5.73897	0	0	3
49	9	0	1.225	101403.86	101366.048	101338.384	101403.86	35.5242237	9.28754098	0	0	5.73899	0	0	3
50	10	0	1.25	101407.821	101369.355	101339.7	101407.821	38.1391714	9.5880737	0	0	5.73898	0	0	3
51	10	0	1.275	101412.104	101372.803	101341.806	101412.104	40.8127655	9.88619526	0	0	5.73896	0	0	3
52	10	0	1.3	101416.292	101376.35	101343.859	101416.292	43.5006788	10.1825086	0	0	5.73898	0	0	3
53	10	0	1.325	101420.098	101379.98	101345.95	101420.098	46.1832745	10.4735174	0	0	5.73898	0	0	3
54	10	0	1.35	101424.235	101383.708	101348	101424.235	48.8751633	10.7642127	0	0	5.73897	0	0	3
55	11	0	1.375	101428.569	101387.545	101350.082	101428.569	51.5849871	11.0568186	0	0	5.73898	0	0	3
56	11	0	1.4	101432.359	101391.462	101353.125	101432.359	54.2464387	11.3441711	0	0	5.73898	0	0	3
57	11	0	1.425	101436.445	101395.43	101356.258	101436.445	56.8230762	11.6298643	0	0	5.73898	0	0	3
58	11	0	1.45	101440.84	101399.458	101359.239	101440.84	59.332824	11.9167721	0	0	5.73897	0	0	3
59	11	0	1.475	101445.197	101403.551	101362.335	101445.197	61.7750174	12.2044464	0	0	5.73898	0	0	3
60	11	0	1.5	101449.528	101407.703	101365.382	101449.528	64.1454991	12.4925579	0	0	5.73897	0	0	3
61	12	0	1.525	101453.764	101411.912	101369.891	101453.764	66.3816353	12.7785581	0	0	5.73898	0	0	3
62	12	0	1.55	101457.826	101416.099	101374.398	101457.826	68.4067763	13.0613871	0	0	5.73897	0	0	3
