Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.204392	293.204392	293.204392	293.204392	0	0	0	0	29.95	0	0	3
2	1	0	0.05	293.204393	293.204393	293.204392	293.204393	1.22789743e-08	0	0	0	29.95	0	0	3
3	2	0	0.075	293.204393	293.204393	293.204392	293.204393	3.43425199e-08	0	0	0	29.95	0	0	3
4	2	0	0.1	293.204393	293.204393	293.204392	293.204393	7.14729822e-08	0	0	0	29.95	0	0	3
5	2	0	0.125	293.204393	293.204393	293.204392	293.204393	1.31294541e-07	0	0	0	29.95	0	0	3
6	2	0	0.15	293.204393	293.204393	293.204392	293.204393	2.36906885e-07	0	0	0	29.95	0	0	3
7	2	0	0.175	293.204394	293.204393	293.204392	293.204394	4.8736598e-07	0	0	0	29.95	0	0	3
8	3	0	0.2	293.204404	293.204394	293.204392	293.204404	1.86585953e-06	0	0	0	29.95	0	0	3
9	3	0	0.225	293.204461	293.204402	293.204392	293.204461	9.26885565e-06	0	0	0	29.95	0	0	3
10	3	0	0.25	293.204573	293.204419	293.204392	293.204573	2.64026702e-05	0	0	0	29.95	0	0	3
11	3	0	0.275	293.20751	293.2047	293.204392	293.20751	0.000307407458	0	0	0	29.9478	0	0	3
12	4	0	0.3	293.208865	293.205047	293.204392	293.208865	0.000654486901	0	0	0	29.9467	0	0	3
13	4	0	0.325	293.210275	293.205449	293.204392	293.210275	0.00105664197	0	0	0	29.9455	0	0	3
14	4	0	0.35	293.211775	293.205901	293.204392	293.211775	0.00150849274	0	0	0	29.9443	0	0	3
15	4	0	0.375	293.213389	293.2064	293.204392	293.213389	0.00200769632	0	0	0	29.943	0	0	3
16	4	0	0.4	293.21723	293.207077	293.204392	293.21723	0.00268458052	0	0	0	29.9398	0	0	3
17	4	0	0.425	293.219333	293.207798	293.204392	293.219333	0.00340553321	0	0	0	29.9379	0	0	3
18	5	0	0.45	293.221507	293.20856	293.204392	293.221507	0.00416712223	0	0	0	29.936	0	0	3
19	5	0	0.475	293.223647	293.209354	293.204392	293.223647	0.00496117849	0	0	0	29.9341	0	0	3
20	5	0	0.5	293.225889	293.21018	293.204392	293.225889	0.00578794034	0	0	0	29.9321	0	0	3
21	5	0	0.525	293.228224	293.211372	293.204393	293.228224	0.00697951521	0	0	0	29.9298	0	0	3
22	5	0	0.55	293.230726	293.212689	293.204393	293.230726	0.00829617193	0	0	0	29.9275	0	0	3
23	5	0	0.575	293.233141	293.214126	293.204393	293.233141	0.0097335759	0	0	0	29.9252	0	0	3
24	5	0	0.6	293.235501	293.215682	293.204393	293.235501	0.0112889433	0	0	0	29.9229	0	0	3
25	6	0	0.625	293.237887	293.217356	293.204393	293.237887	0.0129635694	0	0	0	29.9206	0	0	3
26	6	0	0.65	293.241174	293.219195	293.204394	293.241174	0.014802335	0	0	0	29.9172	0	0	3
27	6	0	0.675	293.244843	293.221218	293.204404	293.244843	0.0168233982	0	0	0	29.9135	0	0	3
28	6	0	0.7	293.248766	293.223436	293.204461	293.248766	0.0190340744	0	0	0	29.9096	0	0	3
